date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:38	36967/36967	---MC-	200	added ('OK')	application/javascript	date:Thu,%2029%20Jan%202015%2012:53:30%20GMT	https://apis.google.com/js/plusone.js	D:/My%20Web%20Sites/wedding%20storyz/apis.google.com/js/plusone.js	(from http://www.weddingstoryz.com/)
18:23:38	293/293	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:39%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1179946264658663178&target=email	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postf49c.g	(from http://www.weddingstoryz.com/)
18:23:39	295/295	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:40%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1179946264658663178&target=twitter	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-postaf4c.g	(from http://www.weddingstoryz.com/)
18:23:39	292/292	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:40%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1179946264658663178&target=blog	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post36b5.g	(from http://www.weddingstoryz.com/)
18:23:40	296/296	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:41%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1179946264658663178&target=facebook	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post8431.g	(from http://www.weddingstoryz.com/)
18:23:40	297/297	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:41%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=1179946264658663178&target=pinterest	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post803b.g	(from http://www.weddingstoryz.com/)
18:23:41	162/162	---M--	200	added ('OK')	image/gif	date:Wed,%2028%20Jan%202015%2017:52:05%20GMT	http://img2.blogblog.com/img/icon18_edit_allbkg.gif	D:/My%20Web%20Sites/wedding%20storyz/img2.blogblog.com/img/icon18_edit_allbkg.gif	(from http://www.weddingstoryz.com/)
18:23:41	291/291	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:42%20GMT	http://www.blogger.com/post-edit.g?blogID=8182335901919555726&postID=1179946264658663178&from=pencil	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/post-editdb7e.g	(from http://www.weddingstoryz.com/)
18:23:44	108887/108887	---M-Z	200	added ('OK')	text/html	etag:%22a52f51f9-c301-498f-8530-08e552c0c400%22	http://www.weddingstoryz.com/2014/12/indian-destination-wedding-andaman-usa.html	D:/My%20Web%20Sites/wedding%20storyz/www.weddingstoryz.com/2014/12/indian-destination-wedding-andaman-usa.html	(from http://www.weddingstoryz.com/)
18:23:45	292/292	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2029%20Jan%202015%2012:53:45%20GMT	http://www.blogger.com/share-post.g?blogID=8182335901919555726&postID=218787070973915999&target=email	D:/My%20Web%20Sites/wedding%20storyz/www.blogger.com/share-post2b77.g	(from http://www.weddingstoryz.com/)
